epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7476,0.73254,1.51714,1.18391,0.98922,0.76462,0.81436,0.64933,0.80964,1.44043,1.06564,0.000544327,0.000544327,0.000544327
2,108.505,0.65712,0.77277,1.14246,0.85832,0.85824,0.90874,0.59356,0.96784,1.25503,1.19138,0.000991094,0.000991094,0.000991094
3,161.816,0.68339,0.69772,1.15889,0.88994,0.8086,0.8974,0.62526,1.02097,1.10382,1.26288,0.00132784,0.00132784,0.00132784
4,216.121,0.67516,0.62737,1.13894,0.94505,0.85985,0.95461,0.68759,0.95365,0.96854,1.15388,0.0011719,0.0011719,0.0011719
5,268.956,0.61787,0.53125,1.11775,0.96338,0.83333,0.94167,0.6726,0.97788,0.89202,1.16766,0.00100687,0.00100687,0.00100687
6,324.065,0.58746,0.49142,1.09576,0.98791,0.95,0.98148,0.74918,0.82806,0.72542,1.06317,0.000841835,0.000841835,0.000841835
7,377.06,0.56536,0.46061,1.08394,0.98627,0.9625,0.98048,0.74195,0.86786,0.71717,1.06653,0.000676802,0.000676802,0.000676802
8,441.599,0.53012,0.42173,1.06762,0.99569,0.96194,0.981,0.7754,0.81857,0.54613,1.02104,0.000511769,0.000511769,0.000511769
9,505.611,0.548,0.40227,1.05596,0.98585,0.95833,0.98049,0.79025,0.76552,0.60423,0.99054,0.000346736,0.000346736,0.000346736
10,570.113,0.51523,0.38732,1.03686,0.97886,0.96667,0.9825,0.79028,0.76415,0.57199,0.98579,0.000181703,0.000181703,0.000181703
